"sp","warm","photo","chill1","chill2","lday","bday","treats","leafout.order","budburst.order"
"ACEPEN",1,1,0,0,71.8181818181818,29.7272727272727,"1 1 0 0",19,11
"ACERUB",1,1,0,0,70,41.1,"1 1 0 0",17,19
"ACESAC",1,1,0,0,81,64.8571428571429,"1 1 0 0",27,25
"ALNINC",1,1,0,0,61.5555555555556,31.7777777777778,"1 1 0 0",13,12
"AROMEL",1,1,0,0,41,15.6666666666667,"1 1 0 0",6,1
"BETALL",1,1,0,0,56.5,34.9166666666667,"1 1 0 0",12,15
"BETLEN",1,1,0,0,69.1666666666667,34.3333333333333,"1 1 0 0",16,14
"BETPAP",1,1,0,0,49.1666666666667,25,"1 1 0 0",10,7
"CORCOR",1,1,0,0,47.2727272727273,26.4545454545455,"1 1 0 0",8,9
"FAGGRA",1,1,0,0,77.3333333333333,61.3333333333333,"1 1 0 0",24.5,23
"FRANIG",1,1,0,0,70.3333333333333,46.7777777777778,"1 1 0 0",18,21
"HAMVIR",1,1,0,0,68,62,"1 1 0 0",14.5,24
"ILEMUC",1,1,0,0,39.6666666666667,20.6666666666667,"1 1 0 0",5,6
"KALANG",1,1,0,0,75,33,"1 1 0 0",23,13
"LONCAN",1,1,0,0,37.5555555555556,20.1111111111111,"1 1 0 0",4,5
"LYOLIG",1,1,0,0,73.6,40,"1 1 0 0",21,18
"NYSSYL",1,1,0,0,73.8333333333333,38.3333333333333,"1 1 0 0",22,17
"POPGRA",1,1,0,0,73.4444444444444,45.1111111111111,"1 1 0 0",20,20
"PRUPEN",1,1,0,0,42.25,16.3333333333333,"1 1 0 0",7,2
"QUEALB",1,1,0,0,82,68,"1 1 0 0",28,27
"QUERUB",1,1,0,0,77.3333333333333,66.3333333333333,"1 1 0 0",24.5,26
"QUEVEL",1,1,0,0,77.8,69.4,"1 1 0 0",26,28
"RHAFRA",1,1,0,0,55.75,36,"1 1 0 0",11,16
"RHOPRI",1,1,0,0,68,29,"1 1 0 0",14.5,10
"SPIALB",1,1,0,0,28.75,19.125,"1 1 0 0",2,4
"VACMYR",1,1,0,0,37.5,17.4,"1 1 0 0",3,3
"VIBCAS",1,1,0,0,26.5,26,"1 1 0 0",1,8
"VIBLAN",1,1,0,0,47.6,47,"1 1 0 0",9,22
"ACEPEN",2,1,0,0,43.7272727272727,21.1818181818182,"2 1 0 0",20,8.5
"ACERUB",2,1,0,0,45.75,33.5,"2 1 0 0",23,20
"ACESAC",2,1,0,0,58.3333333333333,44,"2 1 0 0",28,25
"ALNINC",2,1,0,0,39.6363636363636,29.4545454545455,"2 1 0 0",15,18
"AROMEL",2,1,0,0,26.6666666666667,12.3333333333333,"2 1 0 0",6,1
"BETALL",2,1,0,0,36.4166666666667,27.6666666666667,"2 1 0 0",14,16
"BETLEN",2,1,0,0,43.6666666666667,28.5,"2 1 0 0",19,17
"BETPAP",2,1,0,0,32.1818181818182,21.1818181818182,"2 1 0 0",12,8.5
"CORCOR",2,1,0,0,30.1666666666667,22.5833333333333,"2 1 0 0",9,10
"FAGGRA",2,1,0,0,45.6,45.6,"2 1 0 0",22,28
"FRANIG",2,1,0,0,42.4,33.8,"2 1 0 0",17,21
"HAMVIR",2,1,0,0,41.1666666666667,38.8333333333333,"2 1 0 0",16,22
"ILEMUC",2,1,0,0,25.0833333333333,16.25,"2 1 0 0",5,5
"KALANG",2,1,0,0,31.6,27,"2 1 0 0",11,14.5
"LONCAN",2,1,0,0,24.8888888888889,13.7777777777778,"2 1 0 0",4,3
"LYOLIG",2,1,0,0,34.3333333333333,22.8333333333333,"2 1 0 0",13,11
"NYSSYL",2,1,0,0,43.2,29.8,"2 1 0 0",18,19
"POPGRA",2,1,0,0,54.4545454545455,40.6363636363636,"2 1 0 0",27,23
"PRUPEN",2,1,0,0,26.7272727272727,18.7272727272727,"2 1 0 0",7,7
"QUEALB",2,1,0,0,50.6666666666667,45.3333333333333,"2 1 0 0",24,27
"QUERUB",2,1,0,0,53.75,42.8333333333333,"2 1 0 0",26,24
"QUEVEL",2,1,0,0,51.3333333333333,44.5,"2 1 0 0",25,26
"RHAFRA",2,1,0,0,30.3333333333333,27,"2 1 0 0",10,14.5
"RHOPRI",2,1,0,0,45.3333333333333,25.5,"2 1 0 0",21,13
"SPIALB",2,1,0,0,24.2857142857143,16.2857142857143,"2 1 0 0",3,6
"VACMYR",2,1,0,0,23.0833333333333,13.5,"2 1 0 0",2,2
"VIBCAS",2,1,0,0,15.5833333333333,15.0833333333333,"2 1 0 0",1,4
"VIBLAN",2,1,0,0,27.125,24.375,"2 1 0 0",8,12
"ACEPEN",1,2,0,0,51.0833333333333,24,"1 2 0 0",17,9
"ACERUB",1,2,0,0,51.5555555555556,29.1111111111111,"1 2 0 0",19,12
"ACESAC",1,2,0,0,61.3333333333333,53,"1 2 0 0",27,28
"ALNINC",1,2,0,0,47.1818181818182,31.4545454545455,"1 2 0 0",15,15
"AROMEL",1,2,0,0,31,12,"1 2 0 0",5,1
"BETALL",1,2,0,0,37.4166666666667,28.6666666666667,"1 2 0 0",10,11
"BETLEN",1,2,0,0,50.5,29.5,"1 2 0 0",16,13
"BETPAP",1,2,0,0,40.1666666666667,24.9166666666667,"1 2 0 0",11,10
"CORCOR",1,2,0,0,31.9090909090909,23,"1 2 0 0",6,8
"FAGGRA",1,2,0,0,56.9,44.2,"1 2 0 0",24,24
"FRANIG",1,2,0,0,51.2727272727273,39.2727272727273,"1 2 0 0",18,21
"HAMVIR",1,2,0,0,46.6666666666667,41.3333333333333,"1 2 0 0",14,23
"ILEMUC",1,2,0,0,32,20.5833333333333,"1 2 0 0",7,6
"KALANG",1,2,0,0,33,33,"1 2 0 0",8,17
"LONCAN",1,2,0,0,26.3333333333333,17.3333333333333,"1 2 0 0",1,3
"LYOLIG",1,2,0,0,56.8,30,"1 2 0 0",22,14
"NYSSYL",1,2,0,0,53.1666666666667,31.6666666666667,"1 2 0 0",20,16
"POPGRA",1,2,0,0,67.2727272727273,51.3636363636364,"1 2 0 0",28,26
"PRUPEN",1,2,0,0,34,18.6666666666667,"1 2 0 0",9,5
"QUEALB",1,2,0,0,56.6666666666667,35.3333333333333,"1 2 0 0",21,18
"QUERUB",1,2,0,0,60.3,51.2,"1 2 0 0",26,25
"QUEVEL",1,2,0,0,59.5,51.75,"1 2 0 0",25,27
"RHAFRA",1,2,0,0,43.8,36.6,"1 2 0 0",13,19
"RHOPRI",1,2,0,0,56.8333333333333,37.3333333333333,"1 2 0 0",23,20
"SPIALB",1,2,0,0,27.2222222222222,18.4444444444444,"1 2 0 0",2,4
"VACMYR",1,2,0,0,30.8181818181818,16.7272727272727,"1 2 0 0",4,2
"VIBCAS",1,2,0,0,27.75,20.75,"1 2 0 0",3,7
"VIBLAN",1,2,0,0,40.75,40.75,"1 2 0 0",12,22
"ACEPEN",2,2,0,0,35.1111111111111,17.6666666666667,"2 2 0 0",16,10
"ACERUB",2,2,0,0,39.2222222222222,26.8888888888889,"2 2 0 0",21,18
"ACESAC",2,2,0,0,47.7142857142857,40.5714285714286,"2 2 0 0",27,28
"ALNINC",2,2,0,0,33.6363636363636,19.0909090909091,"2 2 0 0",14,11
"AROMEL",2,2,0,0,20.6666666666667,13,"2 2 0 0",6,2
"BETALL",2,2,0,0,28.6363636363636,22.6363636363636,"2 2 0 0",13,14
"BETLEN",2,2,0,0,36.6,26.6,"2 2 0 0",18,17
"BETPAP",2,2,0,0,27.1818181818182,17.1818181818182,"2 2 0 0",11,9
"CORCOR",2,2,0,0,17.5,13.5,"2 2 0 0",2,4
"FAGGRA",2,2,0,0,47.8,37,"2 2 0 0",28,25
"FRANIG",2,2,0,0,36.2727272727273,30.6363636363636,"2 2 0 0",17,21
"HAMVIR",2,2,0,0,33.6666666666667,32.5,"2 2 0 0",15,22
"ILEMUC",2,2,0,0,17.6666666666667,13.8333333333333,"2 2 0 0",3,5
"KALANG",2,2,0,0,26,26,"2 2 0 0",9,15
"LONCAN",2,2,0,0,19,14.625,"2 2 0 0",4,7
"LYOLIG",2,2,0,0,38.5,28.1666666666667,"2 2 0 0",19,19
"NYSSYL",2,2,0,0,39.6666666666667,26.5,"2 2 0 0",22,16
"POPGRA",2,2,0,0,39.9090909090909,32.7272727272727,"2 2 0 0",23,23
"PRUPEN",2,2,0,0,21.5833333333333,14.5,"2 2 0 0",7,6
"QUEALB",2,2,0,0,44.5,35.5,"2 2 0 0",25,24
"QUERUB",2,2,0,0,42.9166666666667,38.6666666666667,"2 2 0 0",24,27
"QUEVEL",2,2,0,0,47.25,38.25,"2 2 0 0",26,26
"RHAFRA",2,2,0,0,26.5,22,"2 2 0 0",10,12
"RHOPRI",2,2,0,0,38.8,22.4,"2 2 0 0",20,13
"SPIALB",2,2,0,0,20.2857142857143,15.1428571428571,"2 2 0 0",5,8
"VACMYR",2,2,0,0,22.25,11.8333333333333,"2 2 0 0",8,1
"VIBCAS",2,2,0,0,13.4545454545455,13.4545454545455,"2 2 0 0",1,3
"VIBLAN",2,2,0,0,28.5,28.5,"2 2 0 0",12,20
"ACEPEN",1,1,1,0,47.4285714285714,10.7142857142857,"1 1 1 0",9,1
"ACERUB",1,1,1,0,43,21.5,"1 1 1 0",6,6
"ACESAC",1,1,1,0,49.3333333333333,37,"1 1 1 0",10,10
"BETALL",1,1,1,0,38.3636363636364,15.3636363636364,"1 1 1 0",5,4
"BETPAP",1,1,1,0,37.75,14.1666666666667,"1 1 1 0",4,2
"FAGGRA",1,1,1,0,52,42,"1 1 1 0",11,11
"ILEMUC",1,1,1,0,33.5,14.8333333333333,"1 1 1 0",3,3
"POPGRA",1,1,1,0,45.1428571428571,21.7142857142857,"1 1 1 0",7,7
"QUERUB",1,1,1,0,45.4545454545455,29.2727272727273,"1 1 1 0",8,8
"VIBCAS",1,1,1,0,17.6,17.6,"1 1 1 0",1,5
"VIBLAN",1,1,1,0,29.3636363636364,29.3636363636364,"1 1 1 0",2,9
"ACEPEN",2,1,1,0,39.5833333333333,18,"2 1 1 0",9,4
"ACERUB",2,1,1,0,40.7272727272727,22,"2 1 1 0",10,6
"ACESAC",2,1,1,0,38.8333333333333,32.1666666666667,"2 1 1 0",8,10
"BETALL",2,1,1,0,30.8333333333333,18.6666666666667,"2 1 1 0",5,5
"BETPAP",2,1,1,0,29.1818181818182,16,"2 1 1 0",4,1
"FAGGRA",2,1,1,0,53.6,47.6,"2 1 1 0",11,11
"ILEMUC",2,1,1,0,25.75,16.6666666666667,"2 1 1 0",2,2
"POPGRA",2,1,1,0,33.8181818181818,23,"2 1 1 0",7,7
"QUERUB",2,1,1,0,32.9090909090909,24,"2 1 1 0",6,8
"VIBCAS",2,1,1,0,17.4545454545455,17.4545454545455,"2 1 1 0",1,3
"VIBLAN",2,1,1,0,26.1818181818182,26.1818181818182,"2 1 1 0",3,9
"ACEPEN",1,2,1,0,38.2,9.5,"1 2 1 0",8,1
"ACERUB",1,2,1,0,36.8,15.5,"1 2 1 0",6,6
"ACESAC",1,2,1,0,45.5,33.25,"1 2 1 0",11,10
"BETALL",1,2,1,0,27,13.6666666666667,"1 2 1 0",5,5
"BETPAP",1,2,1,0,25.9090909090909,13.2727272727273,"1 2 1 0",4,4
"FAGGRA",1,2,1,0,41.4285714285714,33.7142857142857,"1 2 1 0",9,11
"ILEMUC",1,2,1,0,19.75,10.3333333333333,"1 2 1 0",2,2
"POPGRA",1,2,1,0,41.5,26.5,"1 2 1 0",10,9
"QUERUB",1,2,1,0,36.8333333333333,24.9166666666667,"1 2 1 0",7,8
"VIBCAS",1,2,1,0,10.7272727272727,10.7272727272727,"1 2 1 0",1,3
"VIBLAN",1,2,1,0,24.4,24.4,"1 2 1 0",3,7
"ACEPEN",2,2,1,0,31,10,"2 2 1 0",9,3
"ACERUB",2,2,1,0,26.3333333333333,12.2222222222222,"2 2 1 0",6,6
"ACESAC",2,2,1,0,35.6666666666667,29.8333333333333,"2 2 1 0",10,10
"BETALL",2,2,1,0,25.75,10.9166666666667,"2 2 1 0",5,4
"BETPAP",2,2,1,0,20.8181818181818,11.6363636363636,"2 2 1 0",4,5
"FAGGRA",2,2,1,0,38,34.5,"2 2 1 0",11,11
"ILEMUC",2,2,1,0,13,8.45454545454546,"2 2 1 0",2,1
"POPGRA",2,2,1,0,26.8,17.3,"2 2 1 0",7,8
"QUERUB",2,2,1,0,27.8181818181818,24,"2 2 1 0",8,9
"VIBCAS",2,2,1,0,9.36363636363636,9.36363636363636,"2 2 1 0",1,2
"VIBLAN",2,2,1,0,16.3636363636364,16.3636363636364,"2 2 1 0",3,7
"ACEPEN",1,1,0,1,48,14,"1 1 0 1",9.5,1
"ACERUB",1,1,0,1,44,18,"1 1 0 1",6.5,5
"BETALL",1,1,0,1,36.4,16.6,"1 1 0 1",5,4
"BETPAP",1,1,0,1,35.9090909090909,15.9090909090909,"1 1 0 1",4,3
"FAGGRA",1,1,0,1,44,44,"1 1 0 1",6.5,10
"ILEMUC",1,1,0,1,31.75,15.0833333333333,"1 1 0 1",2,2
"POPGRA",1,1,0,1,48,24.75,"1 1 0 1",9.5,7
"QUERUB",1,1,0,1,45.7777777777778,33.8888888888889,"1 1 0 1",8,9
"VIBCAS",1,1,0,1,20,20,"1 1 0 1",1,6
"VIBLAN",1,1,0,1,31.875,31.875,"1 1 0 1",3,8
"ACEPEN",2,1,0,1,41.6363636363636,21,"2 1 0 1",9,3
"ACERUB",2,1,0,1,41,22.125,"2 1 0 1",8,6
"ACESAC",2,1,0,1,45.5,37.6666666666667,"2 1 0 1",10,10
"BETALL",2,1,0,1,31.6666666666667,20.3333333333333,"2 1 0 1",4,2
"BETPAP",2,1,0,1,27.1111111111111,13,"2 1 0 1",2,1
"FAGGRA",2,1,0,1,56,41,"2 1 0 1",11,11
"ILEMUC",2,1,0,1,27.5454545454545,21.9090909090909,"2 1 0 1",3,5
"POPGRA",2,1,0,1,38.8,28.8,"2 1 0 1",6,7
"QUERUB",2,1,0,1,40.0833333333333,32.0833333333333,"2 1 0 1",7,8
"VIBCAS",2,1,0,1,21.8,21.8,"2 1 0 1",1,4
"VIBLAN",2,1,0,1,32.8888888888889,32.1111111111111,"2 1 0 1",5,9
"ACEPEN",1,2,0,1,41.8888888888889,13,"1 2 0 1",8,1
"ACERUB",1,2,0,1,36.8,17.8,"1 2 0 1",6,7
"ACESAC",1,2,0,1,45.5,32.3333333333333,"1 2 0 1",11,10
"BETALL",1,2,0,1,32.7,15.6,"1 2 0 1",5,3
"BETPAP",1,2,0,1,31.0833333333333,15.9166666666667,"1 2 0 1",4,4
"FAGGRA",1,2,0,1,44.4,32.7,"1 2 0 1",10,11
"ILEMUC",1,2,0,1,25.5454545454545,14.8181818181818,"1 2 0 1",3,2
"POPGRA",1,2,0,1,42.3333333333333,27.6666666666667,"1 2 0 1",9,8
"QUERUB",1,2,0,1,39.8181818181818,29.3636363636364,"1 2 0 1",7,9
"VIBCAS",1,2,0,1,17,17,"1 2 0 1",1,5
"VIBLAN",1,2,0,1,18.2,17.6,"1 2 0 1",2,6
"ACEPEN",2,2,0,1,30,16,"2 2 0 1",7,4
"ACERUB",2,2,0,1,32.1428571428571,17.5714285714286,"2 2 0 1",10,6
"ACESAC",2,2,0,1,32.4,25.4,"2 2 0 1",11,10
"BETALL",2,2,0,1,26.8181818181818,15.7272727272727,"2 2 0 1",5,3
"BETPAP",2,2,0,1,25.3333333333333,15.4444444444444,"2 2 0 1",4,2
"FAGGRA",2,2,0,1,30.2857142857143,26.4285714285714,"2 2 0 1",8,11
"ILEMUC",2,2,0,1,19.8181818181818,14,"2 2 0 1",2,1
"POPGRA",2,2,0,1,29.5714285714286,19.4285714285714,"2 2 0 1",6,7
"QUERUB",2,2,0,1,31.9090909090909,24,"2 2 0 1",9,9
"VIBCAS",2,2,0,1,16.1111111111111,16.1111111111111,"2 2 0 1",1,5
"VIBLAN",2,2,0,1,22.5555555555556,22.5555555555556,"2 2 0 1",3,8
